player_id,season,name,firstname,lastname,nationality,photo,team,position,age,appearances,minutes,goals,assists,market_value_eur
2855,2023,E. Krafth,Emil Henry Kristoffer,Krafth,Sweden,https://media.api-sports.io/football/players/2855.png,Newcastle,Defender,28,28,926,0,0,8000000.0
2864,2023,A. Isak,Alexander,Isak,Sweden,https://media.api-sports.io/football/players/2864.png,Newcastle,Attacker,23,31,2265,21,2,90300000.0
2869,2023,E. Álvarez,Edson Omar,Álvarez Velázquez,Mexico,https://media.api-sports.io/football/players/2869.png,West Ham,Midfielder,25,31,2383,1,1,13300000.0
2887,2023,R. Jiménez,Raúl Alonso,Jiménez Rodríguez,Mexico,https://media.api-sports.io/football/players/2887.png,Fulham,Attacker,32,24,1436,7,0,28500000.0
2920,2023,T. Castagne,Timothy,Castagne,Belgium,https://media.api-sports.io/football/players/2920.png,Fulham,Defender,27,35,2634,1,3,14800000.0
2931,2023,T. Heaton,Thomas David,Heaton,England,https://media.api-sports.io/football/players/2931.png,Manchester United,Goalkeeper,37,0,0,0,0,600000.0
2932,2023,J. Pickford,Jordan Lee,Pickford,England,https://media.api-sports.io/football/players/2932.png,Everton,Goalkeeper,29,38,3420,0,0,10300000.0
2933,2023,B. Chilwell,Benjamin James,Chilwell,England,https://media.api-sports.io/football/players/2933.png,Chelsea,Defender,26,14,756,0,1,7000000.0
2934,2023,M. Keane,Michael Vincent,Keane,England,https://media.api-sports.io/football/players/2934.png,Everton,Defender,30,9,435,1,0,6400000.0
2935,2023,H. Maguire,Jacob Harry,Maguire,England,https://media.api-sports.io/football/players/2935.png,Manchester United,Defender,30,25,1667,2,2,10400000.0
2936,2023,J. Tarkowski,James Alan,Tarkowski,England,https://media.api-sports.io/football/players/2936.png,Everton,Defender,30,38,3420,1,1,14500000.0
2937,2023,D. Rice,Declan,Rice,England,https://media.api-sports.io/football/players/2937.png,Arsenal,Midfielder,24,38,3232,7,8,26600000.0
2938,2023,J. Ward-Prowse,James Michael Edward,Ward-Prowse,England,https://media.api-sports.io/football/players/2938.png,West Ham,Midfielder,28,37,3005,7,7,31200000.0
2939,2023,C. Wilson,Callum Eddie Graham,Wilson,England,https://media.api-sports.io/football/players/2939.png,Newcastle,Attacker,31,20,993,9,1,11300000.0
